Order Date,Sales
2018-01-31,14205.707
2018-02-28,4519.892
2018-03-31,55205.797
2018-04-30,27906.855
2018-05-31,23644.303
2018-06-30,34322.9356
2018-07-31,33781.543
2018-08-31,27117.5365
2018-09-30,81623.5268
2018-10-31,31453.393
2018-11-30,77907.66070000001
2018-12-31,68167.0585
2019-01-31,18066.9576
2019-02-28,11951.411
2019-03-31,32339.3184
2019-04-30,34154.4685
2019-05-31,29959.5305
2019-06-30,23599.374
2019-07-31,28608.259
2019-08-31,36818.3422
2019-09-30,63133.606
2019-10-31,31011.7375
2019-11-30,75249.3995
2019-12-31,74543.6012
2020-01-31,18542.491
2020-02-29,22978.815000000002
2020-03-31,51165.059
2020-04-30,38679.767
2020-05-31,56656.908
2020-06-30,39724.486
2020-07-31,38320.783
2020-08-31,30542.2003
2020-09-30,69193.3909
2020-10-31,59583.033
2020-11-30,79066.4958
2020-12-31,95739.121
2021-01-31,43476.474
2021-02-28,19920.9974
2021-03-31,58863.4128
2021-04-30,35541.9101
2021-05-31,43825.9822
2021-06-30,48190.7277
2021-07-31,44825.104
2021-08-31,62837.848
2021-09-30,86152.888
2021-10-31,77448.1312
2021-11-30,117938.155
2021-12-31,83030.3888
